id,name,screen_name,followers_count,friends_count
186317110,Dan Hirschman,asociologist,3534,1072
18663556,Matt Blackwell,matt_blackwell,4225,301
18686907,David Frum,davidfrum,571069,752
18805477,jake hofman,jakehofman,4935,463
188104515,Garry Peterson,resilienceSci,5630,1426
1891806212,Shit Academics Say,AcademicsSay,265984,0
1894231788,Data & Society,datasociety,22050,428
18955413,Adam Rogers,jetjocko,13690,1002
190238907,Adam Pah,adamrpah,260,246
19188515,Edward Walker,edwardwalker,1730,774
19188700,Thomas Malone,twmalone,1396,12
19202628,Winter Mason,winteram,1035,504
19256096,F1000Prime,F1000Prime,22372,1659
192679212,Simon Garnier,sjmgarnier,2259,1162
1937243048,Zoltan Toroczkai,zoltantoroczkai,514,148
19402238,Science News,ScienceNews,2697184,611
194399316,Carlos Gershenson,cgershen,2875,164
1954278132,NICO,NICOatNU,666,179
1962699368,Alex Arenas,_AlexArenas,1233,174
1963312058,Joseph E. Stiglitz,JosephEStiglitz,205896,92
19658826,New Scientist,newscientist,3309249,78
19658936,CDC Emergency,CDCemergency,1886176,476
196877476,Joshua B. Plotkin,jplotkin,2158,883
19767193,Ed Yong,edyong209,125858,1470
1979287862,Dan Larremore,DanLarremore,828,183
19803953,Janet Vertesi,cyberlyra,2220,122
19819769,Eric Gilbert,eegilbert,2916,207
19843630,Michael “Brig. Gen., War on Christmas” Eisen,mbeisen,24937,5923
19920203,Fernanda Viégas,viegasf,11783,38
19939208,David Lusseau,lusseau,1334,2265
19968025,Kate Crawford,katecrawford,31039,2144
20023987,Eduardo G. Altmann,egaltmann,765,435
20280065,Remember H. Rosling,HansRosling,365693,172
20338124,Network Science,networkscience,1060,3
206255645,NatureCommunications,NatureComms,43299,313
20749410,Mark Zuckerberg,finkd,436361,810
20963651,Sean J. Taylor,seanjtaylor,15600,2243
21088249,Andreas Trabesinger,Trabesinger,426,102
21097230,John Palfrey,jpalfrey,11007,2167
21218554,Ananyo Bhattacharya,Ananyo,11920,4717
21401602,Andrea Kavanaugh,akavan,207,288
214272214,Sinan Aral,sinanaral,31633,9723
21457289,Microsoft Research,MSFTResearch,351652,1301
214653213,Andrew Gelman,StatModeling,16394,0
21581503,Guardian Science,guardianscience,1070970,2250
216098950,INSNA,SocNetAnalysts,1638,137
21611239,Sean Carroll,seanmcarroll,131818,372
2167059661,Jenny Bryan,JennyBryan,13387,541
216939636,Andrew Ng,AndrewYNg,227253,336
21713505,Karissa McKelvey,okdistribute,1855,908
217284148,Austan Goolsbee,Austan_Goolsbee,71991,419
217771939,Michael Szell,mszll,1538,910
2195241,Farhad Manjoo (feat. Drake),fmanjoo,166801,4043
22197926,Aaron Koblin,aaronkoblin,26491,604
22272053,Marcus du Sautoy,MarcusduSautoy,48119,304
2230151202,Social Physics,social_physics,4102,94
